Stock Price,Equity,Portfolio,Buy Threshold,Sell Threshold
104.56,65.2523,9,99.005,109.427
103.711,65.2523,9,99.005,109.427
104.479,65.2523,9,99.005,109.427
103.633,65.2523,9,99.005,109.427
102.761,65.2523,9,99.005,109.427
102.382,65.2523,9,99.005,109.427
103.381,65.2523,9,99.005,109.427
103.395,65.2523,9,98.7622,109.158
102.4,65.2523,9,98.7622,109.158
102.47,65.2523,9,98.7622,109.158
102.059,65.2523,9,98.7622,109.158
102.232,65.2523,9,98.7622,109.158
102.285,65.2523,9,98.7622,109.158
102.773,65.2523,9,98.7622,109.158
101.953,65.2523,9,98.7622,109.158
101.875,65.2523,9,98.7622,109.158
101.19,65.2523,9,98.7622,109.158
102.154,65.2523,9,98.7622,109.158
101.797,65.2523,9,98.7622,109.158
100.833,65.2523,9,98.7622,109.158
101.07,65.2523,9,98.7622,109.158
101.432,65.2523,9,98.7622,109.158
100.577,65.2523,9,98.0262,108.345
100.185,65.2523,9,98.0262,108.345
100.852,65.2523,9,98.0262,108.345
100.007,65.2523,9,98.0262,108.345
100.213,65.2523,9,98.0262,108.345
100.73,65.2523,9,98.0262,108.345
99.7513,65.2523,9,98.0262,108.345
99.5918,65.2523,9,98.0262,108.345
98.7105,65.2523,9,98.0262,108.345
98.9564,65.2523,9,98.0262,108.345
98.4632,65.2523,9,98.0262,108.345
98.5507,65.2523,9,98.0262,108.345
98.6505,65.2523,9,98.0262,108.345
99.0915,65.2523,9,98.0262,108.345
98.1471,65.2523,9,98.0262,108.345
98.9614,65.2523,9,95.7092,105.784
99.7596,65.2523,9,95.7092,105.784
98.828,65.2523,9,95.7092,105.784
97.9419,65.2523,9,95.7092,105.784
98.3866,65.2523,9,95.7092,105.784
99.1963,65.2523,9,95.7092,105.784
99.7368,65.2523,9,95.7092,105.784
99.9562,65.2523,9,95.7092,105.784
100.841,65.2523,9,95.7092,105.784
99.9631,65.2523,9,95.7092,105.784
100.478,65.2523,9,95.7092,105.784
99.8565,65.2523,9,95.7092,105.784
100.283,65.2523,9,95.7092,105.784
99.9853,65.2523,9,95.7092,105.784
99.6938,65.2523,9,95.7092,105.784
99.0374,65.2523,9,94.5676,104.522
99.3379,65.2523,9,94.5676,104.522
98.6795,65.2523,9,94.5676,104.522
98.5977,65.2523,9,94.5676,104.522
98.2572,65.2523,9,94.5676,104.522
98.0314,65.2523,9,94.5676,104.522
97.9346,65.2523,9,94.5676,104.522
98.7179,65.2523,9,94.5676,104.522
98.0207,65.2523,9,94.5676,104.522
98.7703,65.2523,9,94.5676,104.522
98.5229,65.2523,9,94.5676,104.522
98.2221,65.2523,9,94.5676,104.522
99.0981,65.2523,9,94.5676,104.522
98.8764,65.2523,9,94.5676,104.522
99.1442,65.2523,9,94.5676,104.522
99.9928,65.2523,9,94.1487,104.059
100.101,65.2523,9,94.1487,104.059
101.098,65.2523,9,94.1487,104.059
100.988,65.2523,9,94.1487,104.059
101.737,65.2523,9,94.1487,104.059
102.66,65.2523,9,94.1487,104.059
103.32,65.2523,9,94.1487,104.059
102.49,65.2523,9,94.1487,104.059
102.328,65.2523,9,94.1487,104.059
101.562,65.2523,9,94.1487,104.059
100.728,65.2523,9,94.1487,104.059
100.005,65.2523,9,94.1487,104.059
99.7389,65.2523,9,94.1487,104.059
99.4993,65.2523,9,94.1487,104.059
99.5495,65.2523,9,94.1487,104.059
100.195,65.2523,9,94.8431,104.827
100.993,65.2523,9,94.8431,104.827
100.53,65.2523,9,94.8431,104.827
101.305,65.2523,9,94.8431,104.827
100.325,65.2523,9,94.8431,104.827
100.611,65.2523,9,94.8431,104.827
100.919,65.2523,9,94.8431,104.827
100.713,65.2523,9,94.8431,104.827
100.106,65.2523,9,94.8431,104.827
100.63,65.2523,9,94.8431,104.827
100.416,65.2523,9,94.8431,104.827
99.4572,65.2523,9,94.8431,104.827
99.6682,65.2523,9,94.8431,104.827
100.037,65.2523,9,94.8431,104.827
100.344,65.2523,9,94.8431,104.827
99.6231,65.2523,9,95.6982,105.772
99.9135,65.2523,9,95.6982,105.772
100.506,65.2523,9,95.6982,105.772
99.6745,65.2523,9,95.6982,105.772
98.7872,65.2523,9,95.6982,105.772
97.8472,65.2523,9,95.6982,105.772
98.464,65.2523,9,95.6982,105.772
98.3883,65.2523,9,95.6982,105.772
98.4162,65.2523,9,95.6982,105.772
98.8495,65.2523,9,95.6982,105.772
98.7117,65.2523,9,95.6982,105.772
98.2431,65.2523,9,95.6982,105.772
99.0209,65.2523,9,95.6982,105.772
98.8374,65.2523,9,95.6982,105.772
99.0913,65.2523,9,95.6982,105.772
98.3379,65.2523,9,94.703,104.672
97.5411,65.2523,9,94.703,104.672
97.5371,65.2523,9,94.703,104.672
98.5061,65.2523,9,94.703,104.672
99.3224,65.2523,9,94.703,104.672
98.7467,65.2523,9,94.703,104.672
99.1915,65.2523,9,94.703,104.672
98.9191,65.2523,9,94.703,104.672
98.2981,65.2523,9,94.703,104.672
97.6369,65.2523,9,94.703,104.672
97.6469,65.2523,9,94.703,104.672
98.3807,65.2523,9,94.703,104.672
97.571,65.2523,9,94.703,104.672
97.5611,65.2523,9,94.703,104.672
98.139,65.2523,9,94.703,104.672
97.4126,65.2523,9,93.6608,103.52
97.317,65.2523,9,93.6608,103.52
96.6558,65.2523,9,93.6608,103.52
96.3256,65.2523,9,93.6608,103.52
96.2669,65.2523,9,93.6608,103.52
96.9341,65.2523,9,93.6608,103.52
96.0079,65.2523,9,93.6608,103.52
96.4259,65.2523,9,93.6608,103.52
95.7404,65.2523,9,93.6608,103.52
95.4044,65.2523,9,93.6608,103.52
95.4573,65.2523,9,93.6608,103.52
96.1275,65.2523,9,93.6608,103.52
96.5094,65.2523,9,93.6608,103.52
95.9186,65.2523,9,93.6608,103.52
96.1135,65.2523,9,93.6608,103.52
96.8917,65.2523,9,92.4018,102.128
97.8059,65.2523,9,92.4018,102.128
97.455,65.2523,9,92.4018,102.128
96.6168,65.2523,9,92.4018,102.128
95.7652,65.2523,9,92.4018,102.128
96.1277,65.2523,9,92.4018,102.128
96.6934,65.2523,9,92.4018,102.128
96.1659,65.2523,9,92.4018,102.128
96.2864,65.2523,9,92.4018,102.128
95.9367,65.2523,9,92.4018,102.128
96.0891,65.2523,9,92.4018,102.128
96.0176,65.2523,9,92.4018,102.128
95.8807,65.2523,9,92.4018,102.128
96.255,65.2523,9,92.4018,102.128
95.8939,65.2523,9,92.4018,102.128
96.6632,65.2523,9,91.5324,101.167
96.4625,65.2523,9,91.5324,101.167
97.3678,65.2523,9,91.5324,101.167
97.9881,65.2523,9,91.5324,101.167
98.2451,65.2523,9,91.5324,101.167
99.1404,65.2523,9,91.5324,101.167
98.2506,65.2523,9,91.5324,101.167
98.1439,65.2523,9,91.5324,101.167
98.549,65.2523,9,91.5324,101.167
98.0458,65.2523,9,91.5324,101.167
98.3213,65.2523,9,91.5324,101.167
98.8805,65.2523,9,91.5324,101.167
99.6627,65.2523,9,91.5324,101.167
99.5384,65.2523,9,91.5324,101.167
99.1875,65.2523,9,91.5324,101.167
98.6338,65.2523,9,92.477,102.211
99.5204,65.2523,9,92.477,102.211
100.217,65.2523,9,92.477,102.211
100.195,65.2523,9,92.477,102.211
101.107,65.2523,9,92.477,102.211
101.23,65.2523,9,92.477,102.211
101.693,65.2523,9,92.477,102.211
101.907,65.2523,9,92.477,102.211
102.519,987.924,0,92.477,102.211
101.959,987.924,0,92.477,102.211
101.321,987.924,0,92.477,102.211
100.755,987.924,0,92.477,102.211
100.061,987.924,0,92.477,102.211
101.04,987.924,0,92.477,102.211
102.026,987.924,0,92.477,102.211
103.015,987.924,0,94.6399,104.602
103.807,987.924,0,94.6399,104.602
103.254,987.924,0,94.6399,104.602
103.653,987.924,0,94.6399,104.602
103.985,987.924,0,94.6399,104.602
103.34,987.924,0,94.6399,104.602
104.24,987.924,0,94.6399,104.602
103.695,987.924,0,94.6399,104.602
103.155,987.924,0,94.6399,104.602
103.961,987.924,0,94.6399,104.602
103.444,987.924,0,94.6399,104.602
104.435,987.924,0,94.6399,104.602
103.977,987.924,0,94.6399,104.602
103.032,987.924,0,94.6399,104.602
103.492,987.924,0,94.6399,104.602
104.365,987.924,0,97.1745,107.403
105.294,987.924,0,97.1745,107.403
105.969,987.924,0,97.1745,107.403
105.43,987.924,0,97.1745,107.403
105.808,987.924,0,97.1745,107.403
105.388,987.924,0,97.1745,107.403
104.516,987.924,0,97.1745,107.403
104.806,987.924,0,97.1745,107.403
104.506,987.924,0,97.1745,107.403
104.589,987.924,0,97.1745,107.403
103.972,987.924,0,97.1745,107.403
104.093,987.924,0,97.1745,107.403
104.551,987.924,0,97.1745,107.403
104.354,987.924,0,97.1745,107.403
104.306,987.924,0,97.1745,107.403
104.18,987.924,0,99.0037,109.425
104.931,987.924,0,99.0037,109.425
105.825,987.924,0,99.0037,109.425
106.608,987.924,0,99.0037,109.425
106.025,987.924,0,99.0037,109.425
105.064,987.924,0,99.0037,109.425
104.108,987.924,0,99.0037,109.425
103.194,987.924,0,99.0037,109.425
102.434,987.924,0,99.0037,109.425
102.843,987.924,0,99.0037,109.425
103.261,987.924,0,99.0037,109.425
102.74,987.924,0,99.0037,109.425
102.511,987.924,0,99.0037,109.425
103.153,987.924,0,99.0037,109.425
103.932,987.924,0,99.0037,109.425
103.186,987.924,0,99.2039,109.646
103.107,987.924,0,99.2039,109.646
103.887,987.924,0,99.2039,109.646
104.142,987.924,0,99.2039,109.646
103.997,987.924,0,99.2039,109.646
103.658,987.924,0,99.2039,109.646
103.505,987.924,0,99.2039,109.646
104.063,987.924,0,99.2039,109.646
103.714,987.924,0,99.2039,109.646
102.899,987.924,0,99.2039,109.646
102.562,987.924,0,99.2039,109.646
102.204,987.924,0,99.2039,109.646
103.068,987.924,0,99.2039,109.646
103.07,987.924,0,99.2039,109.646
102.13,987.924,0,99.2039,109.646
101.324,987.924,0,98.4834,108.85
101.354,987.924,0,98.4834,108.85
101.692,987.924,0,98.4834,108.85
101.277,987.924,0,98.4834,108.85
101.115,987.924,0,98.4834,108.85
102.092,987.924,0,98.4834,108.85
102.61,987.924,0,98.4834,108.85
103.307,987.924,0,98.4834,108.85
102.908,987.924,0,98.4834,108.85
102.223,987.924,0,98.4834,108.85
103.011,987.924,0,98.4834,108.85
103.665,987.924,0,98.4834,108.85
104.602,987.924,0,98.4834,108.85
105.037,987.924,0,98.4834,108.85
104.024,987.924,0,98.4834,108.85
103.145,987.924,0,97.832,108.13
104.024,987.924,0,97.832,108.13
103.32,987.924,0,97.832,108.13
103.327,987.924,0,97.832,108.13
102.726,987.924,0,97.832,108.13
101.757,987.924,0,97.832,108.13
101.197,987.924,0,97.832,108.13
100.691,987.924,0,97.832,108.13
101.542,987.924,0,97.832,108.13
100.733,987.924,0,97.832,108.13
99.8748,987.924,0,97.832,108.13
100.629,987.924,0,97.832,108.13
100.08,987.924,0,97.832,108.13
99.1814,987.924,0,97.832,108.13
99.4697,987.924,0,97.832,108.13
100.146,987.924,0,96.9613,107.168
99.8043,987.924,0,96.9613,107.168
98.8859,987.924,0,96.9613,107.168
97.9289,987.924,0,96.9613,107.168
98.199,987.924,0,96.9613,107.168
97.643,987.924,0,96.9613,107.168
97.994,987.924,0,96.9613,107.168
98.8929,987.924,0,96.9613,107.168
99.3691,987.924,0,96.9613,107.168
99.0976,987.924,0,96.9613,107.168
98.9594,987.924,0,96.9613,107.168
98.879,987.924,0,96.9613,107.168
98.1302,987.924,0,96.9613,107.168
98.2162,987.924,0,96.9613,107.168
98.0638,987.924,0,96.9613,107.168
98.052,987.924,0,95.0603,105.067
98.2664,987.924,0,95.0603,105.067
97.3182,987.924,0,95.0603,105.067
